nu_ano,estado,media_global
2014,Acre,461.20128267255615
2014,Alagoas,477.2400792218402
2014,Amapá,471.31841289943236
2014,Amazonas,473.7998007327073
2014,Bahia,482.99371396387187
2014,Brasil,487.6173937836479
2014,Ceará,481.2433808534482
2014,Distrito Federal,509.6015992028172
2014,Espírito Santo,505.2579909544492
2014,Goiás,492.31671729254
2014,Maranhão,468.3422655765905
2014,Mato Grosso,476.1114229992459
2014,Mato Grosso do Sul,483.98227808133515
2014,Minas Gerais,512.3421251420043
2014,Pará,476.0257944841702
2014,Paraíba,486.1244969677025
2014,Paraná,508.98618067498046
2014,Pernambuco,487.64823891497133
2014,Piauí,471.7120962376652
2014,Rio de Janeiro,518.0534738877958
2014,Rio Grande do Norte,490.5966735716672
2014,Rio Grande do Sul,506.2420368655891
2014,Rondônia,470.16611132146915
2014,Roraima,472.1653096417128
2014,Santa Catarina,515.8023147601507
2014,São Paulo,520.5818182729722
2014,Sergipe,477.82270581021004
2014,Tocantins,467.9913111545988
2015,Acre,480.5571954080359
2015,Alagoas,491.01466885690957
2015,Amapá,487.50586543788086
2015,Amazonas,486.939450030261
2015,Bahia,497.0735876206192
2015,Brasil,501.64432861228454
2015,Ceará,499.24168762181375
2015,Distrito Federal,516.6524540737369
2015,Espírito Santo,514.6606555729984
2015,Goiás,506.7916528278407
2015,Maranhão,486.1672932338279
2015,Mato Grosso,491.182513365312
2015,Mato Grosso do Sul,497.9071444050321
2015,Minas Gerais,523.0851688549599
2015,Pará,491.8301025701054
2015,Paraíba,500.89793082920096
2015,Paraná,520.3052911511456
2015,Pernambuco,502.1447089773997
2015,Piauí,492.5563407856195
2015,Rio de Janeiro,526.7546508726601
2015,Rio Grande do Norte,505.4264353950365
2015,Rio Grande do Sul,516.3690808644645
2015,Rondônia,487.8570081320924
2015,Roraima,490.05697766286
2015,Santa Catarina,522.8422241372302
2015,São Paulo,525.934718460154
2015,Sergipe,496.42505862968886
2015,Tocantins,486.2170067547967
2016,Acre,482.4197033868428
2016,Alagoas,495.5997858140024
2016,Amapá,487.0795439849443
2016,Amazonas,488.6219882899532
2016,Bahia,499.5880864162292
2016,Brasil,503.8759087933186
2016,Ceará,500.3200977903413
2016,Distrito Federal,521.6272813795875
2016,Espírito Santo,520.5336816159568
2016,Goiás,509.7513728332808
2016,Maranhão,485.91760251051363
2016,Mato Grosso,493.7976893300809
2016,Mato Grosso do Sul,499.2015651497294
2016,Minas Gerais,524.0728489555781
2016,Pará,491.45391010811267
2016,Paraíba,504.3878131264497
2016,Paraná,517.5476521400892
2016,Pernambuco,505.5806755024901
2016,Piauí,491.2601074168437
2016,Rio de Janeiro,533.0028415965336
2016,Rio Grande do Norte,508.95032787240655
2016,Rio Grande do Sul,518.4608759911538
2016,Rondônia,489.70674793297724
2016,Roraima,492.84514946455556
2016,Santa Catarina,525.8754661669126
2016,São Paulo,528.3435553544907
2016,Sergipe,500.5483712179118
2016,Tocantins,488.1547960716349
2017,Acre,486.5870521321596
2017,Alagoas,497.19231904159864
2017,Amapá,490.44589628241175
2017,Amazonas,489.32502588716306
2017,Bahia,506.3893533184258
2017,Brasil,511.01133508246994
2017,Ceará,511.44260485861827
2017,Distrito Federal,532.55089495748
2017,Espírito Santo,529.4429369355529
2017,Goiás,521.1735642849634
2017,Maranhão,488.78413895474694
2017,Mato Grosso,502.8104922379393
2017,Mato Grosso do Sul,513.3510206780035
2017,Minas Gerais,535.6294993312594
2017,Pará,497.53672273777033
2017,Paraíba,507.7096510802388
2017,Paraná,531.2381223190666
2017,Pernambuco,507.54904917430605
2017,Piauí,499.1269914239285
2017,Rio de Janeiro,536.6125356456043
2017,Rio Grande do Norte,510.99840403911526
2017,Rio Grande do Sul,532.8652822914643
2017,Rondônia,496.38655712603065
2017,Roraima,495.6388944723618
2017,Santa Catarina,537.5758946857446
2017,São Paulo,534.3700241536297
2017,Sergipe,508.52894800930994
2017,Tocantins,496.04417116779473
2018,Acre,496.65439585261987
2018,Alagoas,509.51128616231927
2018,Amapá,497.92315930291414
2018,Amazonas,497.3688323536695
2018,Bahia,515.3087346251405
2018,Brasil,520.2540493880082
2018,Ceará,520.0169884954146
2018,Distrito Federal,542.2078042274583
2018,Espírito Santo,539.1288421184581
2018,Goiás,527.6527873444838
2018,Maranhão,497.65812262177445
2018,Mato Grosso,510.787594924723
2018,Mato Grosso do Sul,521.7089272939023
2018,Minas Gerais,546.3776266769639
2018,Pará,506.0989667634566
2018,Paraíba,517.5388816855753
2018,Paraná,539.9560651556009
2018,Pernambuco,517.7080188587672
2018,Piauí,507.08066616021654
2018,Rio de Janeiro,546.8565197742671
2018,Rio Grande do Norte,523.95300571303
2018,Rio Grande do Sul,540.2966122046656
2018,Rondônia,501.7238150534589
2018,Roraima,507.90956853344954
2018,Santa Catarina,544.8188478081712
2018,São Paulo,549.0796948703152
2018,Sergipe,519.379982561688
2018,Tocantins,502.15358633371534
2019,Acre,492.388120465235
2019,Alagoas,503.05100152803124
2019,Amapá,489.1820653410993
2019,Amazonas,487.2038109923705
2019,Bahia,507.2416678554901
2019,Brasil,514.8085743206975
2019,Ceará,514.5430923074142
2019,Distrito Federal,537.6108645119261
2019,Espírito Santo,535.5826266987739
2019,Goiás,523.4632591011273
2019,Maranhão,489.8913374240658
2019,Mato Grosso,505.66672264166596
2019,Mato Grosso do Sul,514.194131080998
2019,Minas Gerais,540.4972784253607
2019,Pará,498.3961292227277
2019,Paraíba,514.0519253837821
2019,Paraná,534.7121196123185
2019,Pernambuco,514.5720242824317
2019,Piauí,503.4384214784847
2019,Rio de Janeiro,540.3794688553494
2019,Rio Grande do Norte,520.8504197356361
2019,Rio Grande do Sul,535.5682732330914
2019,Rondônia,497.1120144344069
2019,Roraima,501.8018483573946
2019,Santa Catarina,539.3538847011095
2019,São Paulo,543.6208182164543
2019,Sergipe,515.3676259209142
2019,Tocantins,500.0905548511743
2020,Acre,492.0650692237246
2020,Alagoas,505.2238113842524
2020,Amapá,488.0549591169256
2020,Amazonas,492.2176493325364
2020,Bahia,508.32051928761916
2020,Brasil,517.9901652915624
2020,Ceará,519.3447649331729
2020,Distrito Federal,539.4095167864116
2020,Espírito Santo,540.7751961734858
2020,Goiás,527.2835906658772
2020,Maranhão,492.1978703670989
2020,Mato Grosso,513.152041806271
2020,Mato Grosso do Sul,518.6899515087871
2020,Minas Gerais,550.1123711886326
2020,Pará,496.9549928757783
2020,Paraíba,513.1218386412879
2020,Paraná,542.9137696530605
2020,Pernambuco,516.3688813731956
2020,Piauí,504.7046587068495
2020,Rio de Janeiro,543.3952310612837
2020,Rio Grande do Norte,522.6643947869735
2020,Rio Grande do Sul,538.6449416614392
2020,Rondônia,501.2344517206522
2020,Roraima,503.77353444103886
2020,Santa Catarina,547.1748942488911
2020,São Paulo,553.2517409369997
2020,Sergipe,515.4761778474633
2020,Tocantins,499.2076431424767
2021,Acre,508.3195439534518
2021,Alagoas,520.3278376353254
2021,Amapá,503.6453335385089
2021,Amazonas,489.8724640933573
2021,Bahia,521.5615367892307
2021,Brasil,527.0424553303991
2021,Ceará,519.8086358639715
2021,Distrito Federal,552.0878075769359
2021,Espírito Santo,546.9770495624049
2021,Goiás,531.6160944134344
2021,Maranhão,504.8123000647706
2021,Mato Grosso,521.7562136393481
2021,Mato Grosso do Sul,527.7386304226401
2021,Minas Gerais,558.1442732914722
2021,Pará,508.2555876907094
2021,Paraíba,522.7923110169492
2021,Paraná,543.9970581074754
2021,Pernambuco,523.7071512313062
2021,Piauí,517.0500195901943
2021,Rio de Janeiro,550.3194941108567
2021,Rio Grande do Norte,533.5587587601796
2021,Rio Grande do Sul,548.5760488491505
2021,Rondônia,510.80354576561166
2021,Roraima,516.9996033877298
2021,Santa Catarina,551.2934272663646
2021,São Paulo,559.8615794990133
2021,Sergipe,524.7281829617536
2021,Tocantins,511.5358048386282
2022,Acre,516.7451274509804
2022,Alagoas,528.4547150259067
2022,Amapá,510.40301571709233
2022,Amazonas,503.37261845265533
2022,Bahia,529.4881959477909
2022,Brasil,535.7907623342055
2022,Ceará,528.5323367031787
2022,Distrito Federal,560.530279098986
2022,Espírito Santo,556.8146798215593
2022,Goiás,540.1540050304945
2022,Maranhão,511.80653878157835
2022,Mato Grosso,529.0620456312502
2022,Mato Grosso do Sul,535.9013235660183
2022,Minas Gerais,567.0156498463462
2022,Pará,513.9113470936071
2022,Paraíba,534.011387712447
2022,Paraná,553.2246576574776
2022,Pernambuco,535.3538363467602
2022,Piauí,524.7825554634389
2022,Rio de Janeiro,558.094738649958
2022,Rio Grande do Norte,540.1042923714465
2022,Rio Grande do Sul,556.0351113161614
2022,Rondônia,520.797760302303
2022,Roraima,528.5369079754602
2022,Santa Catarina,561.5175769285817
2022,São Paulo,565.6736643340156
2022,Sergipe,532.854675642886
2022,Tocantins,523.1715401551688
2023,Acre,513.7520815948076
2023,Alagoas,520.699424599203
2023,Amapá,508.03657589261155
2023,Amazonas,500.2085382704711
2023,Bahia,524.6458386339594
2023,Brasil,533.1052702692764
2023,Ceará,528.9321280368451
2023,Distrito Federal,558.8675162631547
2023,Espírito Santo,556.5530179750177
2023,Goiás,542.793833587612
2023,Maranhão,504.48116338614176
2023,Mato Grosso,526.7550816036257
2023,Mato Grosso do Sul,533.904639713179
2023,Minas Gerais,565.1397099374037
2023,Pará,508.6796032434619
2023,Paraíba,529.3716769973631
2023,Paraná,550.0646772844497
2023,Pernambuco,532.3363506233042
2023,Piauí,518.2627591469877
2023,Rio de Janeiro,555.9948936054893
2023,Rio Grande do Norte,536.9408153286175
2023,Rio Grande do Sul,557.564071341491
2023,Rondônia,517.6785112396191
2023,Roraima,529.3383690280066
2023,Santa Catarina,559.6208162679426
2023,São Paulo,564.9220736543909
2023,Sergipe,529.6407637373117
2023,Tocantins,518.6573662779937
